title1_4,title2_4,title3_4,title4_4,deviceId,channelId,timestamp,cfd_y1,cfd_y2,heigth,baseline,qLong,qShort,psdValue,eventCounter,eventCounterPSD,decimationFactor,postfix1,postfix2,postfix3,postfix4
171,87,70,65,889192462,0,3662140419928,12,-3,196,-38,985,862,4091,7624,0,0,87,70,80,187
171,87,70,65,889192462,0,3662153241408,12,-3,374,-38,1827,1528,5362,7626,0,0,87,70,80,187
171,87,70,65,889192462,0,3662164827496,12,-3,182,-38,956,872,2879,7628,0,0,87,70,80,187
171,87,70,65,889192462,0,3662178000312,16,-2,1332,-38,5991,4503,8138,7630,0,0,87,70,80,187
171,87,70,65,889192462,0,3662187148112,16,-2,137,-38,738,669,3063,7632,0,0,87,70,80,187
171,87,70,65,889192462,0,3662190352048,16,-2,1419,-38,6199,5029,6184,7634,0,0,87,70,80,187
171,87,70,65,889192462,0,3662205837472,4,-5,441,-38,2073,1704,5832,7636,0,0,87,70,80,187
171,87,70,65,889192462,0,3662212184744,7,-1,1672,-38,7739,5654,8827,7638,0,0,87,70,80,187
171,87,70,65,889192462,0,3662215959552,4,-29,410,-38,1931,1565,6210,7640,0,0,87,70,80,187
171,87,70,65,889192462,0,3662221219952,11,-1,1063,-38,4660,3691,6813,7642,0,0,87,70,80,187
171,87,70,65,889192462,0,3662235021832,10,-1,480,-38,2261,1860,5811,7644,0,0,87,70,80,187
171,87,70,65,889192462,0,3662241475424,4,-1,836,-38,3729,3205,4604,7646,0,0,87,70,80,187
171,87,70,65,889192462,0,3662246935176,7,-6,350,-38,1604,1422,3717,7648,0,0,87,70,80,187
171,87,70,65,889192462,0,3662251402672,13,-2,397,-38,1863,1599,4643,7650,0,0,87,70,80,187
171,87,70,65,889192462,0,3662253228008,5,-16,725,-38,3232,2614,6265,7652,0,0,87,70,80,187
171,87,70,65,889192462,0,3662265534328,9,-16,1193,-38,5117,4039,6903,7654,0,0,87,70,80,187
171,87,70,65,889192462,0,3662290008024,5,-1,981,-38,4403,3482,6854,7656,0,0,87,70,80,187
171,87,70,65,889192462,0,3662297071128,4,-2,2665,-38,11578,8829,7779,7658,0,0,87,70,80,187
171,87,70,65,889192462,0,3662307715264,10,-9,391,-38,1768,1538,4262,7660,0,0,87,70,80,187
171,87,70,65,889192462,0,3662317751672,9,-5,376,-38,1825,1526,5368,7662,0,0,87,70,80,187
171,87,70,65,889192462,0,3662324169072,9,-5,192,-38,925,837,3117,7664,0,0,87,70,80,187
171,87,70,65,889192462,0,3662332478648,9,-5,579,-38,2635,2127,6317,7666,0,0,87,70,80,187
